smiles	fromCID	replacement
CCC=CC1C(C)=CCCC1(C)C	5363817	H
CC1=CCCC(C)(C)C1C=CC(C)F	5363817	F
CC1=CCCC(C)(C)C1C=CC(C)Cl	5363817	Cl
COC(C)C=CC1C(C)=CCCC1(C)C	5363817	OMe
CC(=O)OC(C)C=CC1C(C)=CCCC1(C)C	5363817	OAc
CCC=CC1C(C)=CC(=O)CC1(C)C	5370052	H
CC1=CC(=O)CC(C)(C)C1C=CC(C)F	5370052	F
CC1=CC(=O)CC(C)(C)C1C=CC(C)Cl	5370052	Cl
COC(C)C=CC1C(C)=CC(=O)CC1(C)C	5370052	OMe
CC(=O)OC(C)C=CC1C(C)=CC(=O)CC1(C)C	5370052	OAc
CCC=CC1=C(C)CCCC1(C)C	5373729	H
